date,location
Date unknown,Amersfoort
1944-10-25,Doesburg
Date unknown,Red Cross Zutphen
1943-08-06,Hilversum
1944-11-14,Voorburg
1944-10-23,Deventer
16369,Tholen
1944-10-31,Dordrecht
1944-10-24,Fijnaart
1944-11-27,Groningen
1944-10-06,Middelburg
1944-10-06,Utrecht
1944-10-12,Utrecht Station
1944-10-12,Utrecht
1944-10-25,Utrecht
1944-10-25,Utrecht-Station
1944-10-25,Utrecht Station
1944-11-03,Utrecht-Station
1944-11-03,Utrecht-Station
1944-11-07,Utrecht
1944-11-07,Utrecht Station
1944-11-10,Utrecht
1944-11-10,Utrecht-Station
1944-10-18,Voorburg
1944-09-20,Amersfoort
1945-03-27,Apeldoorn
1944-09-05,Amsterdam - Sumatrastraat
1944-09-14,Amsterdam
1944-09-16,Amsterdam
1944-10-02,Amsterdam CS
1944-11-01,Apeldoorn
1944-10-10,Amsterdam CS
1944-10-23,Amsterdam
1944-10-24,Amsterdam
1944-10-26,Amsterdam CS
1944-10-27,Amsterdam
1944-11-02,Amsterdam
Date unknown,Amsterdam Franked
1944-09-02,Apeldoorn
1944-09-30,Apeldoorn
1944-11-20,Apeldoorn
1944-12-13,Apeldoorn
Date unknown,Arnhem
1944-09-25,Breda
1944-10-29,Breda - Nieuwehaagouk
1944-10-29,Field Post Office 251
Date unknown,Bussum
Date unknown,Bussum
1944-09-16,Deventer
1945-03-27,Apeldoorn
1944-10-18,Deventer
1944-09-19,DeKnijpe
1944-09-06,Dordrecht
1944-09-11,Driebergen
1944-10-10,Ede 
1944-09-19,Eindhoven
1944-09-19,Eindhoven
1944-12-22,Eindhoven
Date unknown,Eindhoven
Date unknown,Eindhoven
1944-12-29,Eindhoven
1944-09-16,Enschede
1944-11-02,Feldpost
1944-10-22,Field Post Office 504
1944-10-20,Fijnaart
1944-09-19,Groningen
1944-10-20,Groningen
1945-02-28,Haarlem 
1944-09-16,Haarlem
1944-10-07,Haarlem
1944-09-15,Hillegom
1944-09-15,Hillegom
1944-09-17,Hillegom
1944-09-18,Hillegom
1944-09-19,Hilversum
1959-09-29,Kirn
Date unknown,Kolbermoor
1944-10-27,Lage Zwaluwe
1944-09-13,Leeuwarden-Station
1944-09-15,Leeuwarden-Station
1944-09-25,Leeuwarden- Station
1944-10-04,Leeuwarden
1944-09-04,Leidschendam
1944-09-15,Ede
1944-09-20,Maastricht
1944-12-14,Maastricht
1944-12-18,Maastricht
1944-12-20,Maastricht
1944-12-20,Maastricht
1944-12-27,Maastricht
Date unknown,Maritime Mail
1944-10-18,4th Parachute Brigade Camp Office
1944-09-16,Mauthausen
1944-09-27,Mühlberg
1944-10-04,Nieuwersluis
1951-08-02,Olpe
1944-10-23,Rhoon
1944-09-26,Rotterdam OS
1944-10-31,Scheveningen
1944-09-11,s Gravenhage
1944-11-04,s Gravenhage
1944-11-17,s Gravenhage
1945-03-16,s Gravenhage
1944-10-17,s Hertogenbosch
1944-10-08,Terschuur
1944-10-09,Arnhem
1944-10-01,Ederveen
1944-12-14,Terwolde
1944-08-28,Utrecht
1944-09-12,Utrecht-Station
1944-09-15,Utrecht
1945-03-12,Apeldoorn
1944-09-16,Utrecht-Station
1944-09-28,Utrecht-Station
1944-10-06,Utrecht-Station
1944-10-18,Utrecht-Station
1944-10-23,Utrecht-Station
1944-10-25,Utrecht-Station
1944-10-25,Utrecht-Station
1944-11-15,Utrecht-Station
1944-11-15,Utrecht-Station
1945-03-13,Apeldoorn
1944-12-06,Velp
Date unknown,Veltpost 66865E
Date unknown,Veltpost 66865E
1944-09-12,Voorburg
1944-10-19,Wateringen
1944-09-21,Winschoten
1945-01-01,Apeldoorn
1945-02-05,Apeldoorn
1944-11-27,Bergen  op Zoom
1945-02-23,Breda
1945-03-05,Breda
1945-03-19,Breda
1945-03-26,Breda
1945-01-21,Chicago
1945-02-05,Chicago
1945-03-08,Commando Noord-Brabant
1945-03-06,Eindhoven
1945-02-05,Grathem
1945-02-06,Grathem
1945-02-27,Grathem
1945-01-22,Haelen (L.b.)
1945-03-15,Heerlen
1945-01-13,Helmond
1945-04-15,Hoensbroek-Treebeek
1944-09-16,Eindhoven
1945-01-29,London
1945-03-03,London
1945-01-19,Neeritter
1944-12-22,Goes
1945-02-02,Roggel
1944-08-30,Seewalchen am Attersee
1944-11-03,s Gravenhage
1945-04-04,s-Hertogenbosch
1945-05-26,s Hertogenbosch
1944-11-07,Utrecht Station
1945-02-17,Vught
1944-12-06,Zutphen
